sku,supplier_id,unit_cost,currency,uom,extracted_at
SKU01001,SUP108,440.5163,NZD,each,2026-04-01 02:00:00
SKU01002,SUP104,824.8051,NZD,each,2026-04-01 02:00:00
SKU01003,SUP121,1741.7999,NZD,each,2026-04-01 02:00:00
SKU01004,SUP113,737.1618,NZD,each,2026-04-01 02:00:00
SKU01005,SUP102,635.7043,NZD,each,2026-04-01 02:00:00
SKU01006,SUP116,903.0621,NZD,each,2026-04-01 02:00:00
SKU01007,SUP117,1779.9247,NZD,each,2026-04-01 02:00:00
SKU01008,SUP120,897.8438,NZD,each,2026-04-01 02:00:00
SKU01009,SUP113,1531.9049,NZD,each,2026-04-01 02:00:00
SKU01010,SUP118,913.5075,NZD,each,2026-04-01 02:00:00
SKU01011,SUP100,1913.0301,NZD,each,2026-04-01 02:00:00
SKU01012,SUP105,2484.8512,NZD,each,2026-04-01 02:00:00
SKU01013,SUP110,2353.3542,NZD,each,2026-04-01 02:00:00
SKU01014,SUP106,1103.7186,NZD,each,2026-04-01 02:00:00
SKU01015,SUP110,2400.7653,NZD,each,2026-04-01 02:00:00
SKU01016,SUP103,595.8119,NZD,each,2026-04-01 02:00:00
SKU01017,SUP111,784.8805,NZD,each,2026-04-01 02:00:00
SKU01018,SUP125,1043.1666,NZD,each,2026-04-01 02:00:00
SKU01019,SUP117,1789.0015,NZD,each,2026-04-01 02:00:00
SKU01020,SUP129,793.5304,NZD,each,2026-04-01 02:00:00
SKU01021,SUP117,1384.603,NZD,each,2026-04-01 02:00:00
SKU01022,SUP119,3394.837,NZD,each,2026-04-01 02:00:00
SKU01023,SUP111,2753.0324,NZD,each,2026-04-01 02:00:00
SKU01024,SUP122,2710.0206,NZD,each,2026-04-01 02:00:00
SKU01025,SUP121,1179.2371,NZD,each,2026-04-01 02:00:00
SKU01026,SUP109,1737.8852,NZD,each,2026-04-01 02:00:00
SKU01027,SUP127,2978.3749,NZD,each,2026-04-01 02:00:00
SKU01028,SUP108,950.7438,NZD,each,2026-04-01 02:00:00
SKU01029,SUP126,1922.6684,NZD,each,2026-04-01 02:00:00
SKU01030,SUP111,240.0658,NZD,each,2026-04-01 02:00:00
SKU01031,SUP108,245.3002,NZD,each,2026-04-01 02:00:00
SKU01032,SUP121,506.3332,NZD,each,2026-04-01 02:00:00
SKU01033,SUP119,549.532,NZD,each,2026-04-01 02:00:00
SKU01034,SUP117,506.7271,NZD,each,2026-04-01 02:00:00
SKU01035,SUP112,210.9494,NZD,each,2026-04-01 02:00:00
SKU01036,SUP129,315.9377,NZD,each,2026-04-01 02:00:00
SKU01037,SUP117,505.4742,NZD,each,2026-04-01 02:00:00
SKU01038,SUP110,235.7489,NZD,each,2026-04-01 02:00:00
SKU01039,SUP101,623.6628,NZD,each,2026-04-01 02:00:00
SKU01040,SUP112,1469.9894,NZD,each,2026-04-01 02:00:00
SKU01041,SUP106,784.0149,NZD,each,2026-04-01 02:00:00
SKU01042,SUP110,1027.9117,NZD,each,2026-04-01 02:00:00
SKU01043,SUP115,392.8633,NZD,each,2026-04-01 02:00:00
SKU01044,SUP129,703.1734,NZD,each,2026-04-01 02:00:00
SKU01045,SUP104,935.0416,NZD,each,2026-04-01 02:00:00
SKU01046,SUP107,482.5757,NZD,each,2026-04-01 02:00:00
SKU01047,SUP117,1121.4529,NZD,each,2026-04-01 02:00:00
SKU01048,SUP118,446.6128,NZD,each,2026-04-01 02:00:00
SKU01049,SUP112,1063.7193,NZD,each,2026-04-01 02:00:00
SKU01050,SUP104,548.5946,NZD,each,2026-04-01 02:00:00
SKU01051,SUP102,708.3791,NZD,each,2026-04-01 02:00:00
SKU01052,SUP127,930.8171,NZD,each,2026-04-01 02:00:00
SKU01053,SUP120,276.1527,NZD,each,2026-04-01 02:00:00
SKU01054,SUP121,288.2062,NZD,each,2026-04-01 02:00:00
SKU01055,SUP112,757.0635,NZD,each,2026-04-01 02:00:00
SKU01056,SUP114,576.4543,NZD,each,2026-04-01 02:00:00
SKU01057,SUP117,762.9426,NZD,each,2026-04-01 02:00:00
SKU01058,SUP100,1188.7803,NZD,each,2026-04-01 02:00:00
SKU01059,SUP103,895.7686,NZD,each,2026-04-01 02:00:00
SKU01060,SUP117,781.3557,NZD,each,2026-04-01 02:00:00
SKU01061,SUP110,357.5127,NZD,each,2026-04-01 02:00:00
SKU01062,SUP113,110.0371,NZD,each,2026-04-01 02:00:00
SKU01063,SUP100,121.4108,NZD,each,2026-04-01 02:00:00
SKU01064,SUP128,417.6439,NZD,each,2026-04-01 02:00:00
SKU01065,SUP116,303.9626,NZD,each,2026-04-01 02:00:00
SKU01066,SUP103,169.1595,NZD,each,2026-04-01 02:00:00
SKU01067,SUP109,273.5728,NZD,each,2026-04-01 02:00:00
SKU01068,SUP116,224.7544,NZD,each,2026-04-01 02:00:00
SKU01069,SUP104,208.0797,NZD,each,2026-04-01 02:00:00
SKU01070,SUP117,418.9033,NZD,each,2026-04-01 02:00:00
SKU01071,SUP129,393.8516,NZD,each,2026-04-01 02:00:00
SKU01072,SUP100,307.4053,NZD,each,2026-04-01 02:00:00
SKU01073,SUP115,331.2406,NZD,each,2026-04-01 02:00:00
SKU01074,SUP129,75.0891,NZD,each,2026-04-01 02:00:00
SKU01075,SUP126,277.9964,NZD,each,2026-04-01 02:00:00
SKU01076,SUP107,315.9551,NZD,each,2026-04-01 02:00:00
SKU01077,SUP128,69.0164,NZD,each,2026-04-01 02:00:00
SKU01078,SUP102,217.4126,NZD,each,2026-04-01 02:00:00
SKU01079,SUP115,90.0384,NZD,each,2026-04-01 02:00:00
SKU01080,SUP117,272.8445,NZD,each,2026-04-01 02:00:00
SKU01081,SUP104,223.8497,NZD,each,2026-04-01 02:00:00
SKU01082,SUP130,187.1555,NZD,each,2026-04-01 02:00:00
SKU01083,SUP116,81.4475,NZD,each,2026-04-01 02:00:00
SKU01084,SUP113,246.0045,NZD,each,2026-04-01 02:00:00
SKU01085,SUP129,279.4412,NZD,each,2026-04-01 02:00:00
SKU01086,SUP123,175.3037,NZD,each,2026-04-01 02:00:00
SKU01087,SUP122,244.814,NZD,each,2026-04-01 02:00:00
SKU01088,SUP121,139.511,NZD,each,2026-04-01 02:00:00
SKU01089,SUP114,206.3158,NZD,each,2026-04-01 02:00:00
SKU01090,SUP107,147.0908,NZD,each,2026-04-01 02:00:00
SKU01091,SUP110,107.1144,NZD,each,2026-04-01 02:00:00
SKU01092,SUP117,35.2856,NZD,each,2026-04-01 02:00:00
SKU01093,SUP107,99.9296,NZD,each,2026-04-01 02:00:00
SKU01094,SUP122,34.578,NZD,each,2026-04-01 02:00:00
SKU01095,SUP107,210.4866,NZD,each,2026-04-01 02:00:00
SKU01096,SUP101,49.4403,NZD,each,2026-04-01 02:00:00
SKU01097,SUP107,47.2421,NZD,each,2026-04-01 02:00:00
SKU01098,SUP115,99.5313,NZD,each,2026-04-01 02:00:00
SKU01099,SUP104,70.4178,NZD,each,2026-04-01 02:00:00
SKU01100,SUP128,212.7402,NZD,each,2026-04-01 02:00:00
SKU01101,SUP115,176.3914,NZD,each,2026-04-01 02:00:00
SKU01102,SUP125,207.4802,NZD,each,2026-04-01 02:00:00
SKU01103,SUP103,136.9509,NZD,each,2026-04-01 02:00:00
SKU01104,SUP113,69.8003,NZD,each,2026-04-01 02:00:00
SKU01105,SUP113,120.028,NZD,each,2026-04-01 02:00:00
SKU01106,SUP101,1024.6345,NZD,each,2026-04-01 02:00:00
SKU01107,SUP120,993.9454,NZD,each,2026-04-01 02:00:00
SKU01108,SUP112,242.8538,NZD,each,2026-04-01 02:00:00
SKU01109,SUP125,862.152,NZD,each,2026-04-01 02:00:00
SKU01110,SUP107,1346.9966,NZD,each,2026-04-01 02:00:00
SKU01111,SUP117,375.8099,NZD,each,2026-04-01 02:00:00
SKU01112,SUP105,367.4716,NZD,each,2026-04-01 02:00:00
SKU01113,SUP107,566.7491,NZD,each,2026-04-01 02:00:00
SKU01114,SUP102,1393.2988,NZD,each,2026-04-01 02:00:00
SKU01115,SUP127,808.2379,NZD,each,2026-04-01 02:00:00
SKU01116,SUP103,1290.3968,NZD,each,2026-04-01 02:00:00
SKU01117,SUP117,235.718,NZD,each,2026-04-01 02:00:00
SKU01118,SUP129,1653.1318,NZD,each,2026-04-01 02:00:00
