snapshot_date,sku,warehouse_id,reported_qty,snapshot_source,snapshot_taken_at
2026-04-01,SKU01001,WH001,91,ERP,2026-04-01 23:55:00
2026-04-01,SKU01001,WH002,135,ERP,2026-04-01 23:55:00
2026-04-01,SKU01001,WH003,49,ERP,2026-04-01 23:55:00
2026-04-01,SKU01001,WH004,174,ERP,2026-04-01 23:55:00
2026-04-01,SKU01002,WH001,135,ERP,2026-04-01 23:55:00
2026-04-01,SKU01002,WH002,185,ERP,2026-04-01 23:55:00
2026-04-01,SKU01002,WH003,158,ERP,2026-04-01 23:55:00
2026-04-01,SKU01002,WH004,196,ERP,2026-04-01 23:55:00
2026-04-01,SKU01003,WH001,198,ERP,2026-04-01 23:55:00
2026-04-01,SKU01003,WH002,92,ERP,2026-04-01 23:55:00
2026-04-01,SKU01003,WH003,91,ERP,2026-04-01 23:55:00
2026-04-01,SKU01003,WH004,81,ERP,2026-04-01 23:55:00
2026-04-01,SKU01004,WH001,159,ERP,2026-04-01 23:55:00
2026-04-01,SKU01004,WH002,132,ERP,2026-04-01 23:55:00
2026-04-01,SKU01004,WH003,143,ERP,2026-04-01 23:55:00
2026-04-01,SKU01004,WH004,195,ERP,2026-04-01 23:55:00
2026-04-01,SKU01005,WH001,74,ERP,2026-04-01 23:55:00
2026-04-01,SKU01005,WH002,111,ERP,2026-04-01 23:55:00
2026-04-01,SKU01005,WH003,74,ERP,2026-04-01 23:55:00
2026-04-01,SKU01005,WH004,178,ERP,2026-04-01 23:55:00
2026-04-01,SKU01006,WH001,181,ERP,2026-04-01 23:55:00
2026-04-01,SKU01006,WH002,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01006,WH003,66,ERP,2026-04-01 23:55:00
2026-04-01,SKU01006,WH004,125,ERP,2026-04-01 23:55:00
2026-04-01,SKU01007,WH001,120,ERP,2026-04-01 23:55:00
2026-04-01,SKU01007,WH002,192,ERP,2026-04-01 23:55:00
2026-04-01,SKU01007,WH003,66,ERP,2026-04-01 23:55:00
2026-04-01,SKU01007,WH004,180,ERP,2026-04-01 23:55:00
2026-04-01,SKU01008,WH001,219,ERP,2026-04-01 23:55:00
2026-04-01,SKU01008,WH002,197,ERP,2026-04-01 23:55:00
2026-04-01,SKU01008,WH003,138,ERP,2026-04-01 23:55:00
2026-04-01,SKU01008,WH004,51,ERP,2026-04-01 23:55:00
2026-04-01,SKU01009,WH001,66,ERP,2026-04-01 23:55:00
2026-04-01,SKU01009,WH002,72,ERP,2026-04-01 23:55:00
2026-04-01,SKU01009,WH003,102,ERP,2026-04-01 23:55:00
2026-04-01,SKU01009,WH004,144,ERP,2026-04-01 23:55:00
2026-04-01,SKU01010,WH001,124,ERP,2026-04-01 23:55:00
2026-04-01,SKU01010,WH002,58,ERP,2026-04-01 23:55:00
2026-04-01,SKU01010,WH003,200,ERP,2026-04-01 23:55:00
2026-04-01,SKU01010,WH004,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01011,WH001,62,ERP,2026-04-01 23:55:00
2026-04-01,SKU01011,WH002,173,ERP,2026-04-01 23:55:00
2026-04-01,SKU01011,WH003,163,ERP,2026-04-01 23:55:00
2026-04-01,SKU01011,WH004,63,ERP,2026-04-01 23:55:00
2026-04-01,SKU01012,WH001,119,ERP,2026-04-01 23:55:00
2026-04-01,SKU01012,WH002,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01012,WH003,151,ERP,2026-04-01 23:55:00
2026-04-01,SKU01012,WH004,109,ERP,2026-04-01 23:55:00
2026-04-01,SKU01013,WH001,153,ERP,2026-04-01 23:55:00
2026-04-01,SKU01013,WH002,97,ERP,2026-04-01 23:55:00
2026-04-01,SKU01013,WH003,121,ERP,2026-04-01 23:55:00
2026-04-01,SKU01013,WH004,85,ERP,2026-04-01 23:55:00
2026-04-01,SKU01014,WH001,183,ERP,2026-04-01 23:55:00
2026-04-01,SKU01014,WH002,132,ERP,2026-04-01 23:55:00
2026-04-01,SKU01014,WH003,165,ERP,2026-04-01 23:55:00
2026-04-01,SKU01014,WH004,159,ERP,2026-04-01 23:55:00
