transaction_id,transaction_date,store_id,sku,quantity,unit_price,total_amount,customer_id,payment_method
TXN00000237,2026-04-01,ST009,SKU01004,1,1034.95,1034.95,CUST14357,Online
TXN00000326,2026-04-01,ST004,sku01182,1,69.95,69.95,CUST12345,AfterPay
TXN00000482,01/04/2026,ST014,SKU01215,2,549.95,1099.9,,Online
TXN00000102,2026-04-01,ST004,SKU01192,-1,879.95,-879.95,CUST18966,EFTPOS
TXN00000595,2026-04-01,ST013,SKU01203,1,579.95,579.95,,AfterPay
TXN00000130,2026-04-01,ST003,SKU01048,1,669.95,669.95,,EFTPOS
TXN00000129,2026-04-01,ST014,sku01029,1,2749.95,2749.95,,Card
TXN00000554,2026-04-01,ST004,SKU01239,1,1369.95,1369.95,CUST14958,AfterPay
TXN00000231,2026-04-01,ST007,SKU01121,-1,624.95,-624.95,CUST16843,EFTPOS
TXN00000099,2026-04-01,ST012,SKU01002,1,1259.95,1259.95,,Finance
TXN00000068,2026-04-01,ST010,SKU01248,1,1559.95,1559.95,CUST10728,Finance
TXN00000559,2026-04-01,ST012,SKU01209,3,869.95,2609.85,,Online
TXN00000022,2026-04-01,ST014,SKU01178,1,219.95,219.95,CUST15553,Finance
TXN00000249,2026-04-01,ST013,SKU01165,1,524.95,524.95,CUST12559,Card
TXN00000024,2026-04-01,ST013,SKU01165,1,524.95,524.95,,Finance
TXN00000596,2026-04-01,ST001,SKU01082,1,274.95,274.95,CUST11325,Online
TXN00000546,2026-04-01,ST002,SKU01116,1,2169.95,2169.95,CUST19247,AfterPay
TXN00000269,2026-04-01,ST013,SKU01085,1,484.95,484.95,CUST18498,Finance
TXN00000214,2026-04-01,ST002,SKU01200,-1,194.95,-194.95,CUST15544,Online
TXN00000489,2026-04-01,ST006,SKU01001,2,754.95,1509.9,CUST14871,EFTPOS
TXN00000149,2026-04-01,ST013,SKU01010,3,1394.95,4184.85,,Online
TXN00000522,2026-04-01,ST008,SKU01001,1,754.95,754.95,CUST11498,Online
TXN00000329,2026-04-01,ST010,SKU01041,1,1034.95,1034.95,CUST15948,AfterPay
TXN00000274,2026-04-01,ST013,SKU01066,1,254.95,254.95,CUST14052,Finance
TXN00000348,2026-04-01,ST002,SKU01112,1,544.95,544.95,CUST16390,Online
TXN00000533,2026-04-01,ST001,SKU01173,1,324.95,324.95,CUST15889,Online
TXN00000417,2026-04-01,ST008,SKU01177,1,39.95,39.95,CUST19194,Finance
TXN00000079,2026-04-01,ST012,SKU01156,3,1359.95,4079.85,CUST14114,Card
TXN00000197,2026-04-01,ST010,SKU01087,1,364.95,364.95,CUST14315,Card
TXN00000523,2026-04-01,ST013,SKU01044,1,909.95,909.95,CUST10496,AfterPay
TXN00000485,2026-04-01,ST013,SKU01171,1,369.95,369.95,,EFTPOS
TXN00000319,2026-04-01,ST005,SKU01109,1,1524.95,1524.95,,Card
TXN00000012,2026-04-01,ST006,SKU01177,1,39.95,39.95,,EFTPOS
TXN00000206,2026-04-01,ST001,SKU01237,1,669.95,669.95,,EFTPOS
TXN00000152,2026-04-01,ST003,SKU01121,1,624.95,624.95,CUST19363,Online
TXN00000386,2026-04-01,ST012,SKU01158,1,1094.95,1094.95,,Online
TXN00000419,2026-04-01,ST014,SKU01013,1,3064.95,3064.95,CUST10436,Finance
TXN00000411,2026-04-01,ST012,SKU01172,1,129.95,129.95,CUST15033,Online
TXN00000062,01/04/2026,ST001,SKU01089,1,344.95,344.95,CUST16534,Card
TXN00000272,01/04/2026,ST009,SKU01116,2,2169.95,4339.9,CUST13671,AfterPay
TXN00000313,2026-04-01,ST008,SKU01039,1,954.95,954.95,CUST16845,Card
TXN00000465,2026-04-01,ST004,SKU01111,1,584.95,584.95,,Card
TXN00000087,01/04/2026,ST009, SKU01147 ,-1,609.95,-609.95,CUST15935,Online
TXN00000276,2026-04-01,ST005,SKU01004,1,1034.95,1034.95,CUST18379,Online
TXN00000405,2026-04-01,ST006,SKU01070,1,559.95,559.95,,AfterPay
TXN00000524,2026-04-01,ST003,SKU01005,1,884.95,884.95,,Card
TXN00000392,2026-04-01,ST001,SKU01234,1,1784.95,1784.95,CUST18216,Card
TXN00000171,2026-04-01,ST009,SKU01178,1,219.95,219.95,,Online
TXN00000551,2026-04-01,ST012,SKU01132,1,324.95,324.95,CUST18911,AfterPay
TXN00000541,2026-04-01,ST013,SKU01107,1,1424.95,1424.95,CUST19689,Online
TXN00000472,01/04/2026,ST008,SKU01131,1,329.95,329.95,CUST16446,Card
TXN00000198,2026-04-01,ST002,SKU01178,1,219.95,219.95,CUST13864,Card
TXN00000414,2026-04-01,ST003,SKU01050,1,799.95,799.95,CUST15860,Card
TXN00000034,2026-04-01,ST001,SKU01219,2,304.95,609.9,CUST18009,AfterPay
TXN00000341,01/04/2026,ST009,SKU01049,1,1724.95,1724.95,CUST17196,AfterPay
TXN00000248,01/04/2026,ST012,SKU01239,2,1369.95,2739.9,,AfterPay
TXN00000058,2026-04-01,ST005,SKU01132,1,324.95,324.95,CUST10456,EFTPOS
TXN00000436,2026-04-01,ST009,SKU01202,-1,224.95,-224.95,CUST15645,Card
TXN00000021,2026-04-01,ST008,SKU01106,1,1759.95,1759.95,CUST11008,Card
TXN00000227,2026-04-01,ST006, SKU01137 ,1,399.95,399.95,,AfterPay
TXN00000336,2026-04-01,ST010,SKU01096,1,74.95,74.95,CUST16623,EFTPOS
TXN00000547,2026-04-01,ST011,SKU01168,1,234.95,234.95,CUST14800,Online
TXN00000344,01/04/2026,ST010,SKU01185,1,1204.95,1204.95,CUST12087,AfterPay
TXN00000408,2026-04-01,ST011,SKU01178,1,219.95,219.95,CUST16629,Online
TXN00000594,2026-04-01,ST003,SKU01167,3,834.95,2504.85,,AfterPay
TXN00000352,2026-04-01,ST001,SKU01176,1,364.95,364.95,CUST13709,AfterPay
TXN00000217,2026-04-01,ST011,SKU01234,2,1784.95,3569.9,,EFTPOS
TXN00000159,2026-04-01,ST002,SKU01228,1,329.95,329.95,,EFTPOS
TXN00000529,2026-04-01,ST013,SKU01093,1,139.95,139.95,CUST14069,Card
TXN00000574,2026-04-01,ST007,SKU01027,1,4034.95,4034.95,CUST11387,Card
TXN00000521,2026-04-01,ST014,SKU01118,2,2719.95,5439.9,,Online
TXN00000285,2026-04-01,ST001,SKU01214,1,174.95,174.95,CUST18032,Online
TXN00000286,2026-04-01,ST011,sku01237,1,669.95,669.95,CUST15565,AfterPay
TXN00000084,2026-04-01,ST013, SKU01061 ,1,479.95,479.95,,Finance
TXN00000474,2026-04-01,ST007,SKU01092,1,54.95,54.95,CUST19250,AfterPay
TXN00000050,2026-04-01,ST010,SKU01237,1,669.95,669.95,CUST10190,Online
TXN00000108,2026-04-01,ST001,SKU01059,1,1279.95,1279.95,CUST18069,Finance
TXN00000457,2026-04-01,ST001,SKU01067,1,399.95,399.95,CUST18078,EFTPOS
TXN00000059,2026-04-01,ST007,SKU01157,1,589.95,589.95,,Finance
TXN00000253,01/04/2026,ST006,SKU01064,1,574.95,574.95,CUST12077,Finance
TXN00000570,2026-04-01,ST008,SKU01127,1,1144.95,1144.95,,Online
TXN00000104,2026-04-01,ST010,SKU01243,1,654.95,654.95,CUST19001,EFTPOS
TXN00000041,2026-04-01,ST013,SKU01131,3,329.95,989.85,,Finance
TXN00000260,2026-04-01,ST005,SKU01001,1,754.95,754.95,CUST18073,Card
TXN00000412,2026-04-01,ST001,SKU01094,1,49.95,49.95,CUST14081,Online
TXN00000367,2026-04-01,ST004,SKU01202,1,224.95,224.95,CUST10595,Card
TXN00000060,2026-04-01,ST013,SKU01133,2,894.95,1789.9,CUST13204,EFTPOS
TXN00000458,2026-04-01,ST004, SKU01168 ,1,234.95,234.95,CUST17689,Card
TXN00000271,2026-04-01,ST001,SKU01052,2,1479.95,2959.9,,Card
TXN00000065,2026-04-01,ST008,SKU01058,1,1574.95,1574.95,CUST13101,AfterPay
TXN00000519,2026-04-01,ST005,SKU01076,1,459.95,459.95,,Finance
TXN00000018,2026-04-01,ST011,SKU01132,1,324.95,324.95,CUST14933,Online
TXN00000416,2026-04-01,ST011,SKU01100,2,289.95,579.9,,EFTPOS
TXN00000400,2026-04-01,ST004,SKU01201,1,179.95,179.95,CUST11954,Online
TXN00000282,2026-04-01,ST010,SKU01070,1,559.95,559.95,CUST18262,Online
TXN00000168,2026-04-01,ST001,SKU01112,1,544.95,544.95,CUST17127,Online
TXN00000176,2026-04-01,ST009,SKU01169,1,494.95,494.95,CUST13928,AfterPay
TXN00000389,01/04/2026,ST009,SKU01159,1,264.95,264.95,CUST15365,EFTPOS
TXN00000120,2026-04-01,ST001,SKU01166,-1,554.95,-554.95,,Card
TXN00000094,2026-04-01,ST002,SKU01217,1,339.95,339.95,CUST13711,AfterPay
TXN00000394,2026-04-01,ST005,SKU01055,1,1144.95,1144.95,CUST12386,Finance
TXN00000275,01/04/2026,ST002,SKU01084,1,444.95,444.95,CUST14700,EFTPOS
TXN00000467,2026-04-01,ST006,SKU01005,2,884.95,1769.9,,EFTPOS
TXN00000014,2026-04-01,ST003,SKU01168,1,234.95,234.95,CUST15512,EFTPOS
TXN00000150,2026-04-01,ST002,SKU01246,1,1149.95,1149.95,CUST18961,EFTPOS
TXN00000199,2026-04-01,ST001,SKU01088,1,194.95,194.95,,Finance
TXN00000497,01/04/2026,ST008,SKU01216,1,439.95,439.95,CUST17627,AfterPay
TXN00000560,2026-04-01,ST013,SKU01098,1,139.95,139.95,CUST16051,EFTPOS
TXN00000205,2026-04-01,ST004,SKU01200,2,194.95,389.9,,AfterPay
TXN00000241,2026-04-01,ST002,sku01147,2,609.95,1219.9,,Finance
TXN00000584,2026-04-01,ST001,SKU01206,1,269.95,269.95,CUST15734,Finance
TXN00000361,2026-04-01,ST006,SKU01167,1,834.95,834.95,CUST13771,EFTPOS
TXN00000261,2026-04-01,ST013,SKU01153,1,654.95,654.95,CUST12881,EFTPOS
TXN00000331,2026-04-01,ST011,SKU01129,1,544.95,544.95,,Card
TXN00000410,2026-04-01,ST013,SKU01039,1,954.95,954.95,CUST15992,EFTPOS
TXN00000073,01/04/2026,ST005,SKU01034,1,744.95,744.95,,EFTPOS
TXN00000545,2026-04-01,ST003,SKU01019,1,3014.95,3014.95,CUST16249,Card
TXN00000095,2026-04-01,ST014,SKU01066,1,254.95,254.95,CUST10957,Finance
TXN00000051,2026-04-01,ST010,SKU01045,1,1354.95,1354.95,CUST11341,EFTPOS
TXN00000112,2026-04-01,ST012,SKU01132,1,324.95,324.95,CUST10281,Online
TXN00000487,2026-04-01,ST012,SKU01042,1,1774.95,1774.95,,Card
TXN00000144,01/04/2026,ST008,SKU01152,-1,534.95,-534.95,,Finance
TXN00000481,2026-04-01,ST012,SKU01234,1,1784.95,1784.95,,Finance
TXN00000166,2026-04-01,ST010, SKU01061 ,1,479.95,479.95,,Finance
TXN00000236,2026-04-01,ST014,SKU01113,1,859.95,859.95,CUST11403,Online
TXN00000504,2026-04-01,ST010,SKU01168,2,234.95,469.9,CUST15706,AfterPay
TXN00000190,2026-04-01,ST006,SKU01248,2,1559.95,3119.9,,EFTPOS
TXN00000461,2026-04-01,ST003,SKU01076,1,459.95,459.95,CUST17632,Card
TXN00000534,01/04/2026,ST011,SKU01057,1,1034.95,1034.95,CUST12742,Online
TXN00000567,2026-04-01,ST003,SKU01116,3,2169.95,6509.85,,Card
TXN00000499,2026-04-01,ST012,SKU01229,1,239.95,239.95,CUST16311,AfterPay
TXN00000081,2026-04-01,ST002,SKU01075,2,494.95,989.9,,Online
TXN00000221,2026-04-01,ST003,SKU01061,1,479.95,479.95,CUST16538,Finance
TXN00000311,2026-04-01,ST001,SKU01023,1,4599.95,4599.95,,Finance
TXN00000328,2026-04-01,ST014,SKU01063,1,169.95,169.95,CUST19638,EFTPOS
TXN00000359,2026-04-01,ST003, SKU01128 ,1,459.95,459.95,CUST14736,EFTPOS
TXN00000297,2026-04-01,ST001,SKU01160,3,144.95,434.85,,Online
TXN00000438,2026-04-01,ST005,SKU01088,1,194.95,194.95,,AfterPay
TXN00000305,2026-04-01,ST007,SKU01156,1,1359.95,1359.95,,Online
TXN00000255,2026-04-01,ST011, SKU01208 ,1,434.95,434.95,,Card
TXN00000347,2026-04-01,ST005,SKU01004,1,1034.95,1034.95,,AfterPay
TXN00000020,01/04/2026,ST011,SKU01113,1,859.95,859.95,CUST10954,Card
TXN00000406,2026-04-01,ST005,SKU01148,1,339.95,339.95,CUST15439,Card
TXN00000364,2026-04-01,ST012,SKU01029,1,2749.95,2749.95,CUST12561,EFTPOS
TXN00000061,2026-04-01,ST006,SKU01195,1,594.95,594.95,CUST14478,EFTPOS
TXN00000208,2026-04-01,ST008,SKU01081,1,309.95,309.95,,AfterPay
