movement_id,movement_date,sku,warehouse_id,movement_type,quantity,reference_id,notes
MOV00001633,2026-04-02,SKU01167,WH001,sale_out,-1,TXN00010332,
MOV00001634,2026-04-02,SKU01148,WH001,sale_out,-1,TXN00010447,
MOV00001635,2026-04-02,SKU01172,WH003,sale_out,-2,TXN00010394,
MOV00001636,2026-04-02,SKU01092,WH003,sale_out,-1,TXN00010303,
MOV00001637,2026-04-02,SKU01205,WH001,sale_out,-1,TXN00010271,
MOV00001638,2026-04-02,SKU01249,WH003,sale_out,-1,TXN00010554,
MOV00001639,2026-04-02,SKU01084,WH001,sale_out,-1,TXN00010285,
MOV00001640,2026-04-02,SKU01119,WH001,sale_out,-1,TXN00010335,
MOV00001641,2026-04-02,SKU01136,WH004,sale_out,-1,TXN00010425,
MOV00001642,2026-04-02,SKU01191,WH004,sale_out,-1,TXN00010294,
MOV00001643,2026-04-02,SKU01237,WH004,sale_out,-1,TXN00010210,
MOV00001644,2026-04-02,SKU01227,WH004,sale_out,-1,TXN00010005,
MOV00001645,2026-04-02,SKU01211,WH001,sale_out,-1,TXN00010243,
MOV00001646,2026-04-02,SKU01154,WH002,sale_out,-1,TXN00010030,
MOV00001647,2026-04-02,SKU01226,WH004,sale_out,-1,TXN00010129,
MOV00001648,2026-04-02,SKU01025,WH001,sale_out,-1,TXN00010295,
MOV00001649,2026-04-02,SKU01207,WH004,sale_out,-1,TXN00010446,
MOV00001650,2026-04-02,SKU01242,WH001,sale_out,-1,TXN00010291,
MOV00001651,2026-04-02,SKU01243,WH002,sale_out,-3,TXN00010435,
MOV00001652,2026-04-02,SKU01041,WH001,sale_out,-1,TXN00010592,
MOV00001653,2026-04-02,SKU01060,WH001,sale_out,-1,TXN00010280,
MOV00001654,2026-04-02,SKU99001,WH001,sale_out,-1,TXN00010009,
MOV00001655,2026-04-02,SKU01145,WH001,sale_out,-1,TXN00010083,
MOV00001656,2026-04-02,SKU01077,WH004,sale_out,-1,TXN00010330,
MOV00001657,2026-04-02,SKU01212,WH001,sale_out,-1,TXN00010351,
MOV00001658,2026-04-02,SKU01084,WH003,sale_out,-1,TXN00010195,
MOV00001659,2026-04-02,SKU01172,WH001,sale_out,-2,TXN00010231,
MOV00001660,2026-04-02,SKU01053,WH002,sale_out,-1,TXN00010245,
MOV00001661,2026-04-02,SKU01202,WH001,sale_out,-1,TXN00010258,
MOV00001662,2026-04-02,SKU01030,WH004,sale_out,-1,TXN00010122,
MOV00001663,2026-04-02,SKU01102,WH001,sale_out,-3,TXN00010061,
MOV00001664,2026-04-02,SKU01206,WH001,sale_out,-1,TXN00010130,
MOV00001665,2026-04-02,SKU01128,WH003,sale_out,-1,TXN00010514,
MOV00001666,2026-04-02,SKU01023,WH001,sale_out,-1,TXN00010203,
MOV00001667,2026-04-02,SKU01195,WH001,sale_out,-1,TXN00010459,
MOV00001668,2026-04-02,SKU01121,WH003,sale_out,-1,TXN00010225,
MOV00001669,2026-04-02,SKU01117,WH002,sale_out,-1,TXN00010485,
MOV00001670,2026-04-02,SKU01047,WH001,sale_out,-1,TXN00010207,
MOV00001671,2026-04-02,SKU01201,WH001,sale_out,-1,TXN00010391,
MOV00001672,2026-04-02,SKU01096,WH002,sale_out,-1,TXN00010551,
MOV00001673,2026-04-02,SKU01205,WH004,sale_out,-2,TXN00010517,
MOV00001674,2026-04-02,SKU01178,WH002,sale_out,-1,TXN00010569,
MOV00001675,2026-04-02,SKU01197,WH001,sale_out,-1,TXN00010306,
MOV00001676,2026-04-02,SKU01054,WH004,sale_out,-1,TXN00010460,
MOV00001677,2026-04-02,SKU01115,WH001,sale_out,-1,TXN00010047,
MOV00001678,2026-04-02,SKU01090,WH001,sale_out,-1,TXN00010464,
MOV00001679,2026-04-02,SKU01190,WH001,sale_out,-1,TXN00010045,
MOV00001680,2026-04-02,SKU01010,WH002,sale_out,-1,TXN00010108,
MOV00001681,2026-04-02,SKU01063,WH001,sale_out,-2,TXN00010338,
MOV00001682,2026-04-02,SKU01022,WH004,sale_out,-1,TXN00010587,
MOV00001683,2026-04-02,SKU01230,WH004,sale_out,-1,TXN00010268,
MOV00001684,2026-04-02,SKU01012,WH004,sale_out,-3,TXN00010474,
MOV00001685,2026-04-02,SKU01184,WH004,sale_out,-3,TXN00010279,
MOV00001686,2026-04-02,SKU01212,WH004,sale_out,-2,TXN00010242,
MOV00001687,2026-04-02,SKU01212,WH001,sale_out,-1,TXN00010246,
MOV00001688,2026-04-02,SKU01128,WH004,sale_out,-3,TXN00010346,
MOV00001689,2026-04-02,SKU01134,WH003,sale_out,-2,TXN00010348,
MOV00001690,2026-04-02,SKU01060,WH001,sale_out,-1,TXN00010251,
MOV00001691,2026-04-02,SKU01074,WH002,sale_out,-2,TXN00010174,
MOV00001692,2026-04-02,SKU01048,WH001,sale_out,-1,TXN00010138,
MOV00001693,2026-04-02,SKU01233,WH001,sale_out,-1,TXN00010372,
MOV00001694,2026-04-02,SKU01093,WH003,sale_out,-1,TXN00010520,
MOV00001695,2026-04-02,SKU01196,WH004,sale_out,-1,TXN00010317,
MOV00001696,2026-04-02,SKU01237,WH001,sale_out,-1,TXN00010178,
MOV00001697,2026-04-02,SKU01046,WH004,sale_out,-1,TXN00010276,
MOV00001698,2026-04-02,SKU01165,WH001,sale_out,-1,TXN00010411,
MOV00001699,2026-04-02,SKU01072,WH001,sale_out,-1,TXN00010098,
MOV00001700,2026-04-02,SKU01056,WH001,receipt,1,TXN00010504,Customer return
MOV00001701,2026-04-02,SKU01038,WH001,sale_out,-1,TXN00010410,
MOV00001702,2026-04-02,SKU01107,WH001,sale_out,-1,TXN00010461,
MOV00001703,2026-04-02,SKU01049,WH002,sale_out,-1,TXN00010537,
MOV00001704,2026-04-02,SKU01112,WH004,sale_out,-3,TXN00010503,
MOV00001705,2026-04-02,SKU01218,WH001,sale_out,-2,TXN00010413,
MOV00001706,2026-04-02,SKU01234,WH001,sale_out,-3,TXN00010155,
MOV00001707,2026-04-02,SKU01148,WH004,sale_out,-1,TXN00010053,
MOV00001708,2026-04-02,SKU01076,WH001,sale_out,-1,TXN00010267,
MOV00001709,2026-04-02,SKU01180,WH001,sale_out,-1,TXN00010528,
MOV00001710,2026-04-02,SKU01222,WH002,sale_out,-1,TXN00010439,
MOV00001711,2026-04-02,SKU01222,WH001,sale_out,-1,TXN00010388,
MOV00001712,2026-04-02,SKU01134,WH001,receipt,1,TXN00010042,Customer return
MOV00001713,2026-04-02,SKU01077,WH001,sale_out,-1,TXN00010490,
MOV00001714,2026-04-02,SKU01236,WH004,sale_out,-1,TXN00010214,
MOV00001715,2026-04-02,SKU01160,WH004,sale_out,-1,TXN00010049,
MOV00001716,2026-04-02,SKU01037,WH003,sale_out,-1,TXN00010500,
MOV00001717,2026-04-02,SKU01233,WH004,sale_out,-1,TXN00010037,
MOV00001718,2026-04-02,SKU01233,WH001,sale_out,-1,TXN00010128,
MOV00001719,2026-04-02,SKU01053,WH002,sale_out,-1,TXN00010097,
MOV00001720,2026-04-02,SKU01244,WH001,sale_out,-1,TXN00010384,
MOV00001721,2026-04-02,SKU01164,WH001,sale_out,-2,TXN00010350,
MOV00001722,2026-04-02,SKU01114,WH003,sale_out,-1,TXN00010370,
MOV00001723,2026-04-02,SKU01182,WH001,sale_out,-1,TXN00010572,
MOV00001724,2026-04-02,SKU01098,WH001,sale_out,-1,TXN00010561,
MOV00001725,2026-04-02,SKU01179,WH003,sale_out,-1,TXN00010230,
MOV00001726,2026-04-02,SKU01150,WH001,sale_out,-1,TXN00010063,
MOV00001727,2026-04-02,SKU01015,WH001,receipt,1,TXN00010438,Customer return
MOV00001728,2026-04-02,SKU01235,WH001,sale_out,-1,TXN00010076,
MOV00001729,2026-04-02,SKU01086,WH002,sale_out,-1,TXN00010546,
MOV00001730,2026-04-02,SKU01199,WH003,sale_out,-1,TXN00010001,
MOV00001731,2026-04-02,SKU01161,WH001,sale_out,-1,TXN00010340,
MOV00001732,2026-04-02,SKU01037,WH004,sale_out,-1,TXN00010288,
MOV00001733,2026-04-02,SKU01150,WH001,sale_out,-1,TXN00010478,
MOV00001734,2026-04-02,SKU01040,WH003,sale_out,-1,TXN00010359,
MOV00001735,2026-04-02,SKU01229,WH001,sale_out,-1,TXN00010389,
MOV00001736,2026-04-02,SKU01061,WH001,sale_out,-1,TXN00010213,
MOV00001737,2026-04-02,SKU01020,WH001,sale_out,-2,TXN00010189,
MOV00001738,2026-04-02,SKU01087,WH004,sale_out,-1,TXN00010534,
MOV00001739,2026-04-02,SKU01178,WH001,sale_out,-1,TXN00010322,
MOV00001740,2026-04-02,SKU01191,WH003,sale_out,-1,TXN00010600,
MOV00001741,2026-04-02,SKU01128,WH003,sale_out,-1,TXN00010232,
MOV00001742,2026-04-02,SKU01086,WH003,sale_out,-1,TXN00010044,
MOV00001743,2026-04-02,SKU01241,WH001,sale_out,-1,TXN00010481,
MOV00001744,2026-04-02,SKU01224,WH001,sale_out,-1,TXN00010458,
MOV00001745,2026-04-02,SKU01209,WH003,sale_out,-1,TXN00010180,
MOV00001746,2026-04-02,SKU01228,WH003,receipt,1,TXN00010347,Customer return
MOV00001747,2026-04-02,SKU99000,WH003,sale_out,-3,TXN00010121,
